"quadrant","genes_per_quadrant","Anemorensis_EPM_cluster","Anemorensis_EPM_cluster_significance","Anemorensis_EPM_cluster_abundance","Anemorensis_EPM_cluster_abundance_in_percent","Anemorensis_EPMs_per_gene_per_quadrant","Asagitatta_EPM_cluster","Asagitatta_EPM_cluster_significance","Asagitatta_EPM_cluster_abundance","Asagitatta_EPM_cluster_abundance_in_percent","Asagitatta_EPMs_per_gene_per_quadrant"
"Q1","2091","2","1.03e-02","417","25.65%","3.58","9","3.96e-02","1134","24.03%","4.55"
"Q1","2091","21","2.42e-02","1528","23.93%","11.04","9","3.96e-02","1134","24.03%","4.55"
"Q1","2091","24","3.17e-03","1069","24.64%","5.22","9","3.96e-02","1134","24.03%","4.55"
"Q2","1110","5","4.73e-03","159","14.74%","14.92","N/A","N/A","N/A","N/A","N/A"
"Q2","1110","11","2.93e-02","697","12.72%","5.88","N/A","N/A","N/A","N/A","N/A"
"Q4","1801","10","1.43e-02","964","21.25%","9.28","7","3.63e-05","817","22.05%","6.66"
"Q4","1801","10","1.43e-02","964","21.25%","9.28","10","1.90e-03","574","22.02%","4.25"
"Q4","1801","10","1.43e-02","964","21.25%","9.28","13","8.23e-03","848","21.21%","7.91"
"Q4","1801","10","1.43e-02","964","21.25%","9.28","14","4.82e-02","826","20.89%","4.39"
"Q5","1165","10","3.32e-03","635","14.00%","8.88","18","3.53e-02","142","15.12%","3.79"
"Q5","1165","10","3.32e-03","635","14.00%","8.88","21","4.24e-03","382","14.63%","4.11"
"Q5","1165","10","3.32e-03","635","14.00%","8.88","25","1.83e-02","577","13.95%","17.24"
"Q5","1165","25","2.47e-02","536","13.86%","15.30","18","3.53e-02","142","15.12%","3.79"
"Q5","1165","25","2.47e-02","536","13.86%","15.30","21","4.24e-03","382","14.63%","4.11"
"Q5","1165","25","2.47e-02","536","13.86%","15.30","25","1.83e-02","577","13.95%","17.24"
"Q7","1331","5","2.36e-03","194","17.98%","14.49","16","3.36e-02","267","16.43%","3.55"
"Q7","1331","5","2.36e-03","194","17.98%","14.49","20","7.08e-03","270","16.96%","3.47"
"Q7","1331","5","2.36e-03","194","17.98%","14.49","23","2.62e-02","215","16.77%","7.27"
"Q7","1331","11","1.33e-02","857","15.64%","5.68","16","3.36e-02","267","16.43%","3.55"
"Q7","1331","11","1.33e-02","857","15.64%","5.68","20","7.08e-03","270","16.96%","3.47"
"Q7","1331","11","1.33e-02","857","15.64%","5.68","23","2.62e-02","215","16.77%","7.27"
"Q7","1331","19","3.56e-04","443","17.01%","3.70","16","3.36e-02","267","16.43%","3.55"
"Q7","1331","19","3.56e-04","443","17.01%","3.70","20","7.08e-03","270","16.96%","3.47"
"Q7","1331","19","3.56e-04","443","17.01%","3.70","23","2.62e-02","215","16.77%","7.27"
"Q8","1400","21","1.36e-02","1047","16.40%","11.33","1","1.46e-02","826","16.78%","5.92"
"Q8","1400","21","1.36e-02","1047","16.40%","11.33","21","4.57e-02","446","17.08%","4.44"
"Q8","1400","21","1.36e-02","1047","16.40%","11.33","22","5.10e-03","317","18.10%","7.52"
"Q8","1400","22","3.41e-04","793","17.13%","9.45","1","1.46e-02","826","16.78%","5.92"
"Q8","1400","22","3.41e-04","793","17.13%","9.45","21","4.57e-02","446","17.08%","4.44"
"Q8","1400","22","3.41e-04","793","17.13%","9.45","22","5.10e-03","317","18.10%","7.52"
"Q8","1400","25","4.88e-02","643","16.63%","14.69","1","1.46e-02","826","16.78%","5.92"
"Q8","1400","25","4.88e-02","643","16.63%","14.69","21","4.57e-02","446","17.08%","4.44"
"Q8","1400","25","4.88e-02","643","16.63%","14.69","22","5.10e-03","317","18.10%","7.52"
